Field=CiivaID~String~CiivaID~100|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Megabit revision 4 - Final.PrjPcb|ReportField=ProjectFullPath~C:\Users\Uni\AppData\Local\Temp\Releases\Snapshot\2\Megabit revision 4 - Final.PrjPcb|ReportField=Title~BOM_PartType For Project [Megabit revision 4 - Final.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~65|ReportField=ReportTime~16:37:25|ReportField=ReportDate~21/06/2018|ReportField=ReportDateTime~21/06/2018 16:37:25|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~3|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~1|ReportField=Rule~|ReportField=SheetNumber~3|ReportField=SheetTotal~5|ReportField=Time~|ReportField=Title~Megabit Battery Indicator|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=IsUserConfigurable~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~Megabit revision 4 - Final.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Uni\AppData\Local\Temp\Releases\Snapshot\2\Megabit revision 4 - Final.PrjPcb
|Micro:bit female edge connector|http://www.dgyuliang.net/html/279.html||PCBComponent_1 - duplicate|CMP-mom7rix79jkpy4z4w6go-15|1
|Resistor 0.25W|Resistor 0.25W|3K6, 33R, 120K, 180K|PCB-3613466-1|CMP-b15c796618a36e9b-3|4
|Texas Instruments TLV74133PDBVR|150mA Low-Dropout (LDO) Regulator With Foldback Current Limit for Portable Devices 5-SOT-23 -40 to 125|3v3 linreg|PCB-e30blpvsozc7nnftiis2-1|CMP-ad66616159c672a1-6|1
|Tracopower TSR 1-2433|1 A Watt, 4.75-36VDCVin, Quad Output, 3.3 V@1 A Switching Regulators DC-DC Converter|3V3 BUCK|PCB-vczw4772xz5kvcrv4x78-1|CMP-395cf0c79334e69b-1|1
|SYM-d9341036ffe906f3-2|3/4 Pin 500mA Fixed 5V Positive Voltage Regulator 4-SOT-223 0 to 125|5vreg|SOT230P700X180-4L|CMP-d9341036ffe906f3-4|1
|STMicroelectronics L7805ACV|L7805 Series 1.5 A 5 V Three Terminal Voltage Regulator - TO-220|5vreg1|PCB-rumztmkd2xxusznmwboq-1|CMP-1170713-16|1
|10uF|K Series 100nF 50 V ±10 % Tolerance X7R Radial Multilayer Ceramic Capacitor|C555, CigBUCK, Copt|Vishay K104K15X7RF5TL2|CMP-124240-16|3
|0.1uF|K Series 100nF 50 V ±10 % Tolerance X7R Radial Multilayer Ceramic Capacitor|Cig|Vishay K104K15X7RF5TL2|CMP-124240-16|1
|0.33uF|K Series 100nF 50 V ±10 % Tolerance X7R Radial Multilayer Ceramic Capacitor|Cig reg|Vishay K104K15X7RF5TL2|CMP-124240-16|1
|1uF|K Series 100nF 50 V ±10 % Tolerance X7R Radial Multilayer Ceramic Capacitor|Cog|Vishay K104K15X7RF5TL2|CMP-124240-16|1
